96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
,Plate 2,F04,Amagata Dilution 01,SP90104,K08,110816,110816,12.5,m,8,11
,Plate 1,F05,Amagata Dilution 01,SP90104,K09,110404,110404,12.5,m,9,11
,Plate 2,F05,Amagata Dilution 01,SP90104,K10,110805,110805,12.5,m,10,11
,Plate 3,F02,Amagata Dilution 01,SP90104,L03,130133,130133,6.25,m,3,12
,Plate 4,F02,Amagata Dilution 01,SP90104,L04,130134,130134,6.25,m,4,12
,Plate 3,F03,Amagata Dilution 01,SP90104,L05,120216,120216,6.25,m,5,12
,Plate 4,F03,Amagata Dilution 01,SP90104,L06,111057,111057,6.25,m,6,12
,Plate 3,F04,Amagata Dilution 01,SP90104,L07,110803,110803,6.25,m,7,12
,Plate 4,F04,Amagata Dilution 01,SP90104,L08,110816,110816,6.25,m,8,12
,Plate 3,F05,Amagata Dilution 01,SP90104,L09,110404,110404,6.25,m,9,12
,Plate 4,F05,Amagata Dilution 01,SP90104,L10,110805,110805,6.25,m,10,12
,Plate 1,G02,Amagata Dilution 01,SP90104,M03,130133,130133,3.125,m,3,13
,Plate 2,G02,Amagata Dilution 01,SP90104,M04,130134,130134,3.125,m,4,13
,Plate 1,G03,Amagata Dilution 01,SP90104,M05,120216,120216,3.125,m,5,13
,Plate 2,G03,Amagata Dilution 01,SP90104,M06,111057,111057,3.125,m,6,13
,Plate 1,G04,Amagata Dilution 01,SP90104,M07,110803,110803,3.125,m,7,13
,Plate 2,G04,Amagata Dilution 01,SP90104,M08,110816,110816,3.125,m,8,13
,Plate 1,G05,Amagata Dilution 01,SP90104,M09,110404,110404,3.125,m,9,13
,Plate 2,G05,Amagata Dilution 01,SP90104,M10,110805,110805,3.125,m,10,13
,Plate 3,G02,Amagata Dilution 01,SP90104,N03,130133,130133,1.5625,m,3,14
,Plate 4,G02,Amagata Dilution 01,SP90104,N04,130134,130134,1.5625,m,4,14
,Plate 3,G03,Amagata Dilution 01,SP90104,N05,120216,120216,1.5625,m,5,14
,Plate 4,G03,Amagata Dilution 01,SP90104,N06,111057,111057,1.5625,m,6,14
,Plate 3,G04,Amagata Dilution 01,SP90104,N07,110803,110803,1.5625,m,7,14
,Plate 4,G04,Amagata Dilution 01,SP90104,N08,110816,110816,1.5625,m,8,14
,Plate 3,G05,Amagata Dilution 01,SP90104,N09,110404,110404,1.5625,m,9,14
,Plate 4,G05,Amagata Dilution 01,SP90104,N10,110805,110805,1.5625,m,10,14
,Plate 1,H02,Amagata Dilution 01,SP90104,O03,130133,130133,0.78125,m,3,15
,Plate 2,H02,Amagata Dilution 01,SP90104,O04,130134,130134,0.78125,m,4,15
,Plate 1,H03,Amagata Dilution 01,SP90104,O05,120216,120216,0.78125,m,5,15
,Plate 2,H03,Amagata Dilution 01,SP90104,O06,111057,111057,0.78125,m,6,15
,Plate 1,H04,Amagata Dilution 01,SP90104,O07,110803,110803,0.78125,m,7,15
,Plate 2,H04,Amagata Dilution 01,SP90104,O08,110816,110816,0.78125,m,8,15
,Plate 1,H05,Amagata Dilution 01,SP90104,O09,110404,110404,0.78125,m,9,15
,Plate 2,H05,Amagata Dilution 01,SP90104,O10,110805,110805,0.78125,m,10,15
,Plate 3,H02,Amagata Dilution 01,SP90104,P03,130133,130133,0.390625,m,3,16
,Plate 4,H02,Amagata Dilution 01,SP90104,P04,130134,130134,0.390625,m,4,16
,Plate 3,H03,Amagata Dilution 01,SP90104,P05,120216,120216,0.390625,m,5,16
,Plate 4,H03,Amagata Dilution 01,SP90104,P06,111057,111057,0.390625,m,6,16
,Plate 3,H04,Amagata Dilution 01,SP90104,P07,110803,110803,0.390625,m,7,16
,Plate 4,H04,Amagata Dilution 01,SP90104,P08,110816,110816,0.390625,m,8,16
,Plate 3,H05,Amagata Dilution 01,SP90104,P09,110404,110404,0.390625,m,9,16
,Plate 4,H05,Amagata Dilution 01,SP90104,P10,110805,110805,0.390625,m,10,16
