Plate Map,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Lokey-JAS-01 & AF01,SP40179,K19,Cordyheptapeptide B,Cordyheptapeptide B,3.75,m,19,11,18.75
Lokey-JAS-01 & AF01,SP40179,K20,Aspergillicin D,Aspergillicin D,3.75,m,20,11,18.75
Lokey-JAS-01 & AF01,SP40179,K21,SpecialK B,SpecialK B,3.75,m,21,11,18.75
Lokey-JAS-01 & AF01,SP40179,L05,Y6Morph,Y6Morph,1.875,m,5,12,9.375
Lokey-JAS-01 & AF01,SP40179,L06,Y6TFMB,Y6TFMB,1.875,m,6,12,9.375
Lokey-JAS-01 & AF01,SP40179,L07,Y6Pyr,Y6Pyr,1.875,m,7,12,9.375
Lokey-JAS-01 & AF01,SP40179,L08,Y6Iso,Y6Iso,1.875,m,8,12,9.375
Lokey-JAS-01 & AF01,SP40179,L09,PhePA,PhePA,1.875,m,9,12,9.375
Lokey-JAS-01 & AF01,SP40179,L10,PhePB,PhePB,1.875,m,10,12,9.375
Lokey-JAS-01 & AF01,SP40179,L11,PhePC,PhePC,1.875,m,11,12,9.375
Lokey-JAS-01 & AF01,SP40179,L12,PhePD,PhePD,1.875,m,12,12,9.375
Lokey-JAS-01 & AF01,SP40179,L13,PhePAL,PhePAL,1.875,m,13,12,9.375
Lokey-JAS-01 & AF01,SP40179,L14,PhePBL,PhePBL,1.875,m,14,12,9.375
Lokey-JAS-01 & AF01,SP40179,L15,PhePCL,PhePCL,1.875,m,15,12,9.375
Lokey-JAS-01 & AF01,SP40179,L16,PhePDL,PhePDL,1.875,m,16,12,9.375
Lokey-JAS-01 & AF01,SP40179,L17,Antamanide,Antamanide,1.875,m,17,12,9.375
Lokey-JAS-01 & AF01,SP40179,L18,Cylindrocyclin,Cylindrocyclin,1.875,m,18,12,9.375
Lokey-JAS-01 & AF01,SP40179,L19,Cordyheptapeptide B,Cordyheptapeptide B,1.875,m,19,12,9.375
Lokey-JAS-01 & AF01,SP40179,L20,Aspergillicin D,Aspergillicin D,1.875,m,20,12,9.375
Lokey-JAS-01 & AF01,SP40179,L21,SpecialK B,SpecialK B,1.875,m,21,12,9.375
Lokey-JAS-01 & AF01,SP40179,M05,Y6Morph,Y6Morph,0.9375,m,5,13,4.6875
