384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
BL_I_157_2ndGen,SP20231,M17,BL-I-156-483,BL-I-156-483,15.625,m
BL_I_157_2ndGen,SP20231,M18,BL-I-156-373,BL-I-156-373,15.625,m
BL_I_157_2ndGen,SP20231,M19,BL-I-153,BL-I-153,15.625,m
BL_I_157_2ndGen,SP20231,M20,BL-I-145,BL-I-145,15.625,m
BL_I_157_2ndGen,SP20231,M21,BL-I-135,BL-I-135,15.625,m
BL_I_157_2ndGen,SP20231,M22,BL-I-150,BL-I-150,15.625,m
BL_I_157_2ndGen,SP20231,N03,BL-I-130,BL-I-130,0.015258789,m
BL_I_157_2ndGen,SP20231,N04,BL-I-131,BL-I-131,0.015258789,m
BL_I_157_2ndGen,SP20231,N05,BL-I-132,BL-I-132,0.015258789,m
BL_I_157_2ndGen,SP20231,N06,BL-I-152,BL-I-152,0.007629395,m
BL_I_157_2ndGen,SP20231,N07,BL-I-155,BL-I-155,0.015258789,m
BL_I_157_2ndGen,SP20231,N08,BL-I-108,BL-I-108,0.015258789,m
BL_I_157_2ndGen,SP20231,N09,BL-I-136,BL-I-136,0.015258789,m
BL_I_157_2ndGen,SP20231,N10,BL-I-142,BL-I-142,0.015258789,m
BL_I_157_2ndGen,SP20231,N11,BL-I-151,BL-I-151,0.015258789,m
BL_I_157_2ndGen,SP20231,N12,BL-I-148,BL-I-148,0.015258789,m
BL_I_157_2ndGen,SP20231,N13,BL_I_171,BL_I_171,0.001167297,m
BL_I_157_2ndGen,SP20231,N14,BL_I_162,BL_I_162,7.8125,m
BL_I_157_2ndGen,SP20231,N15,BL_I_161,BL_I_161,7.8125,m
BL_I_157_2ndGen,SP20231,N16,BL_I_160,BL_I_160,15.625,m
BL_I_157_2ndGen,SP20231,N17,BL-I-156-483,BL-I-156-483,31.25,m
BL_I_157_2ndGen,SP20231,N18,BL-I-156-373,BL-I-156-373,31.25,m
BL_I_157_2ndGen,SP20231,N19,BL-I-153,BL-I-153,31.25,m
BL_I_157_2ndGen,SP20231,N20,BL-I-145,BL-I-145,31.25,m
BL_I_157_2ndGen,SP20231,N21,BL-I-135,BL-I-135,31.25,m
BL_I_157_2ndGen,SP20231,N22,BL-I-150,BL-I-150,31.25,m
BL_I_157_2ndGen,SP20231,O03,BL-I-130,BL-I-130,0.007629395,m
BL_I_157_2ndGen,SP20231,O04,BL-I-131,BL-I-131,0.007629395,m
BL_I_157_2ndGen,SP20231,O05,BL-I-132,BL-I-132,0.007629395,m
BL_I_157_2ndGen,SP20231,O06,BL-I-152,BL-I-152,0.003814697,m
BL_I_157_2ndGen,SP20231,O07,BL-I-155,BL-I-155,0.007629395,m
BL_I_157_2ndGen,SP20231,O08,BL-I-108,BL-I-108,0.007629395,m
BL_I_157_2ndGen,SP20231,O09,BL-I-136,BL-I-136,0.007629395,m
BL_I_157_2ndGen,SP20231,O10,BL-I-142,BL-I-142,0.007629395,m
BL_I_157_2ndGen,SP20231,O11,BL-I-151,BL-I-151,0.007629395,m
BL_I_157_2ndGen,SP20231,O12,BL-I-148,BL-I-148,0.007629395,m
BL_I_157_2ndGen,SP20231,O13,BL_I_171,BL_I_171,0.000583649,m
BL_I_157_2ndGen,SP20231,O14,BL_I_162,BL_I_162,15.625,m
BL_I_157_2ndGen,SP20231,O15,BL_I_161,BL_I_161,15.625,m
BL_I_157_2ndGen,SP20231,O16,BL_I_160,BL_I_160,31.25,m
BL_I_157_2ndGen,SP20231,O17,BL-I-156-483,BL-I-156-483,62.5,m
BL_I_157_2ndGen,SP20231,O18,BL-I-156-373,BL-I-156-373,62.5,m
BL_I_157_2ndGen,SP20231,O19,BL-I-153,BL-I-153,62.5,m
